Job_Name,Company_Name,Location,Published_Time,exp_level,exp_years,Job_Type
Senior Full Stack Developer - (PHP & ReactJS),CrossWorkers,"New Cairo, Cairo, Egypt",3 hours ago,Experienced,5+ Yrs of Exp,Full Time
Production Engineer,Easy Group For Health and Beauty Care,"Bourj Alarab, Alexandria, Egypt",3 hours ago,Experienced,3 - 4 Yrs of Exp,Full Time
Sales Representative (Fashion retail field),nillens,"Zamalek, Cairo, Egypt",3 hours ago,Experienced,1 - 7 Yrs of Exp,Full Time
Senior PHP / Laravel Developer,webSTDY,"Mohandessin, Giza, Egypt",3 hours ago,Experienced,3+ Yrs of Exp,Full Time
Software Tester,webSTDY,"Mohandessin, Giza, Egypt",3 hours ago,Entry Level,1 - 3 Yrs of Exp,Full Time
Sales Account Manager ( B2B),Firoz Group,"Nasr City, Cairo, Egypt",3 hours ago,Experienced,2 - 5 Yrs of Exp,Full Time
Amazon Customer Service Agent,RISEUP (Endemag for Administrative Skills Development),"New Cairo, Cairo, Egypt",3 hours ago,Entry Level,0 - 3 Yrs of Exp,Full Time
Billing & Receivable Assistant Manager,Network InternationalEgypt,"New Cairo, Cairo, Egypt",3 hours ago,Experienced,5 - 7 Yrs of Exp,Full Time
Senior Internal Auditor ( financial & operation),Nahdet Misr Publishing Group,"Mohandessin, Giza, Egypt",3 hours ago,Experienced,4 - 6 Yrs of Exp,Full Time
Sales Teamleader,Unit X ,"Sheikh Zayed, Giza, Egypt",2 hours ago,Manager,2 - 5 Yrs of Exp,Full Time
Web Developer,Confidential,"Cairo, Egypt",2 hours ago,Entry Level,1 - 3 Yrs of Exp,Full Time
Balance Sheet Analyst,Confidential,"Maadi, Cairo, Egypt",2 hours ago,Experienced,5 - 7 Yrs of Exp,Full Time
Customer Excellence Specialist,Nahdet Misr Publishing Group,"Mohandessin, Giza, Egypt",2 hours ago,Entry Level,1 - 5 Yrs of Exp,Full Time
Departmental Secretary and Receptionist,Eldib & Co,"Mokattam, Cairo, Egypt",2 hours ago,Entry Level,1 - 3 Yrs of Exp,Full Time
Talent Acquisition Specialist,Lemonspaces,"Downtown, Cairo, Egypt",2 hours ago,Experienced,1 - 5 Yrs of Exp,Full Time
Call Center Agent (English Account) Graduates only,Etisalat Egypt,"Maadi, Cairo, Egypt",2 hours ago,Entry Level,Customer Service/Support,Full Time
Internal Auditor,Al-Amal Al-sharif For Plastic,"10th of Ramadan City, Sharqia, Egypt",2 hours ago,Experienced,2 - 4 Yrs of Exp,Full Time
Human Resources (HR) Manager,Confidential,"Assiut, Egypt",2 hours ago,Manager,7 - 10 Yrs of Exp,Full Time
Head OF Accounting,Al Omaraa Group for Ceramic and Porcelain Production,"Sheraton, Cairo, Egypt",2 hours ago,Manager,7+ Yrs of Exp,Full Time
Junior Accountant,Al Omaraa Group for Ceramic and Porcelain Production,"Sheraton, Cairo, Egypt",2 hours ago,Experienced,1 - 5 Yrs of Exp,Full Time
Senior Content Creator,4level1,"Cairo, Egypt",2 hours ago,Experienced,2+ Yrs of Exp,Full Time
Quality Manager,Confidential,"Cairo, Egypt",2 hours ago,Manager,7 - 10 Yrs of Exp,Full Time
iOS Developer,Madar Soft,"Fleming, Alexandria, Egypt",2 hours ago,Experienced,1 - 2 Yrs of Exp,Full Time
Production Engineer,Advansys for Trading & Contracting,"Cairo, Egypt",2 hours ago,Entry Level,0 - 2 Yrs of Exp,Full Time
Graphic Designer specialist,Infinity Clinic Pharma,"Nasr City, Cairo, Egypt",2 hours ago,Experienced,2 - 3 Yrs of Exp,Full Time
Interaction Designer,Tact Innovations Design & General Contracting,"New Cairo, Cairo, Egypt",2 hours ago,Experienced,3 - 10 Yrs of Exp,Full Time
Executive Secretary,Perfect Agencies Co.,"New Cairo, Cairo, Egypt",2 hours ago,Experienced,5 - 10 Yrs of Exp,Full Time
Accountant,Perfect Agencies Co.,"New Cairo, Cairo, Egypt",2 hours ago,Experienced,5 - 10 Yrs of Exp,Full Time
Security,Confidential,"Glim, Alexandria, Egypt",2 hours ago,Experienced,1 - 2 Yrs of Exp,Full Time
Accountant,CRIF EGYPT,"Heliopolis, Cairo, Egypt",2 hours ago,Experienced,4 - 5 Yrs of Exp,Full Time
Tendering Engineer - Electric,Teba United,"Nasr City, Cairo, Egypt",2 hours ago,Experienced,4 - 6 Yrs of Exp,Full Time
Medical Representative - Assiut,El Nahar for Medical Solutions,"Assiut, Egypt",2 hours ago,Entry Level,0 - 4 Yrs of Exp,Full Time
Procurement Specialist,Selah ElTelmeez For Publishing & printing,"Obour City, Cairo, Egypt",2 hours ago,Experienced,1 - 3 Yrs of Exp,Full Time
Medical Representative - Alexandria,El Nahar for Medical Solutions,"Alexandria, Egypt",2 hours ago,Entry Level,1+ Yrs of Exp,Full Time
Senior Solutions Consultant,BBI-Consultancy,"Nasr City, Cairo, Egypt",2 hours ago,Experienced,5 - 8 Yrs of Exp,Full Time
Financial Planning And Analysis Supervisor,Confidential,"Mohandessin, Giza, Egypt",2 hours ago,Experienced,4 - 7 Yrs of Exp,Full Time
Associate Business Researcher (Skyminder),CRIF EGYPT,"Heliopolis, Cairo, Egypt",2 hours ago,Experienced,3 - 5 Yrs of Exp,Full Time
Customer Service Manager,National Yachts Company,"Hurghada, Red Sea, Egypt",2 hours ago,Experienced,3 - 6 Yrs of Exp,Full Time
VOIS - IE account - Customer Service Representative - Work From Home,_VOIS Egypt,"Cairo, Egypt",2 hours ago,Entry Level,Customer Service/Support,Full Time
Graphic Designer,altameerarabian,"New Cairo, Cairo, Egypt",2 hours ago,Experienced,2 - 3 Yrs of Exp,Full Time
Content Creator,Geek Labs,"Maadi, Cairo, Egypt",2 hours ago,Entry Level,0 - 1 Yrs of Exp,Internship
Senior .Net Backend Or Full-Stack Developer (.Net Core - Angular),Puzzle,"6th of October, Giza, Egypt",2 hours ago,Experienced,4+ Yrs of Exp,Part Time
UI Developer,Confidential,"6th of October, Giza, Egypt",1 hour ago,Experienced,3 - 7 Yrs of Exp,Full Time
ERP Project Coordinator,Epic Systems,"Haram, Giza, Egypt",1 hour ago,Experienced,1 - 3 Yrs of Exp,Full Time
Classroom English Teacher / Co-teacher for Nursery,Edu-Zone,"Sheikh Zayed, Giza, Egypt",1 hour ago,Experienced,2 - 7 Yrs of Exp,Full Time
Senior Corporate Sales Account Manager,WUZZUF,"Maadi, Cairo, Egypt",1 hour ago,Experienced,3+ Yrs of Exp,Full Time
Purchasing Specialist,TechnoBit Group,"Sharabeya, Cairo, Egypt",1 hour ago,Experienced,2 - 5 Yrs of Exp,Full Time
Sales Team Leader - Technology Startup,Confidential,"Nasr City, Cairo, Egypt",1 hour ago,Manager,7 - 10 Yrs of Exp,Full Time
Warehouse Keeper,Confidential,"Bourj Alarab, Alexandria, Egypt",1 hour ago,Experienced,3 - 5 Yrs of Exp,Full Time
Sales Representative,GoldenHome Solutions,"New Cairo, Cairo, Egypt",1 hour ago,Experienced,2 - 3 Yrs of Exp,Full Time
Furniture Designer,GoldenHome Solutions,"6th of October, Giza, Egypt",1 hour ago,Experienced,2 - 4 Yrs of Exp,Full Time
Senior Quality Control,Salem Ventures,"New Cairo, Cairo, Egypt",1 hour ago,Experienced,4 - 7 Yrs of Exp,Full Time
Senior UI UX Developer,Salem Ventures,"New Cairo, Cairo, Egypt",1 hour ago,Experienced,4 - 8 Yrs of Exp,Full Time
Business Developer,Salem Ventures,"New Cairo, Cairo, Egypt",1 hour ago,Experienced,3 - 6 Yrs of Exp,Full Time
Sales Teamleader,Concrete properties,"Giza, Egypt",1 hour ago,Experienced,3 - 5 Yrs of Exp,Full Time
German Teacher,Elite Education Group,"Cairo, Egypt",1 hour ago,Experienced,3 - 5 Yrs of Exp,Full Time
Projects Junior Sales Engineer,ATEC,"Maadi, Cairo, Egypt",1 hour ago,Experienced,1 - 3 Yrs of Exp,Full Time
Financial Journalism Internship,Geek Labs,"Maadi, Cairo, Egypt",1 hour ago,Entry Level,Accounting/Finance,Internship
Interior Designer,Confidential,"Fleming, Alexandria, Egypt",1 hour ago,Experienced,2 - 5 Yrs of Exp,Full Time
Sales Team leader,Asset Tap,"Sheikh Zayed, Giza, Egypt",1 hour ago,Experienced,3 - 5 Yrs of Exp,Full Time
